latitude, longitude, elevation_m, observation_time, station_id, temperature_c, wind_speed_ms, wind_direction, wind_gust, precipitation, source
-15.731806,13.891116,,,GAMBOS,,,,,,
-12.80262,15.74959,,,HUAMBO_NOVA_LISBOA,,,,,,
-15.0499,13.3925,,,HUMPATA_EEAH,,,,,,
-5.257,12.1531,,,LANDANA,,,,,,
-12.370736,13.537145,,,LOBITO,,,,,,
-12.310617,13.835176,,,LOBITO_CULANGO,,,,,,
-12.3707,13.5371,,,LOBITO_FANA,,,,,,
-8.84806,13.23528,,,LUANDA,,,,,,
-14.92868,13.57091,,,LUBANGO_SA_DA_BANDEIRA,,,,,,
-11.76841,19.89802,,,LUENA_LUSO,,,,,,
-11.555597,20.784792,,,LUMEGE_CAMEIA,,,,,,
-9.527737,16.318939,,,MALANGE,,,,,,
-14.9057,13.4483,,,MAPUNDA,,,,,,
-6.030886,15.137457,,,MAQUELA_DO_ZOMBO,,,,,,
-14.657266,17.714595,,,MENONGUE_SERPA_PINTO,,,,,,
-9.54238,20.15737,,,MINA_DO_LUAXE,,,,,,
-15.256722,12.153485,,,MOCAMEDES,,,,,,
-16.725509,15.353899,,,MONGUA,,,,,,
-15.66806,15.80306,,,MUKOLONGODJO,,,,,,
-16.133888,15.746388,,,MUPA,,,,,,
-9.519191,13.958608,,,MUXIMA,,,,,,
-9.30663,14.90497,,,NDALATANDO,,,,,,
-7.818354,15.330536,,,NEGAGE_CESSE,,,,,,
-17.333861,15.961888,,,OIHOLE,,,,,,
-16.6372,16.0394,,,OMUVANDJA,,,,,,
-16.655636,13.422742,,,ONCÓCUA/CUROCA,,,,,,
-17.048,15.68949,,,ONDJIVA_AEROPORTO,,,,,,
-9.05535,13.755722,,,QUIMINHA,,,,,,
-8.749615,15.416156,,,SAMBA_CAJU,,,,,,
-9.688737,20.424995,,,SAURIMO_HENRIQUE_DE_CARVALHO,,,,,,
-11.171454,13.845379,,,SUMBE,,,,,,
-15.797554,11.877233,,,TOMBUA,,,,,,
-7.6036,15.0291,,,UIGE,,,,,,
-11.4166666667,15.1166666667,,,WAKU KUNGU (CELA),,,,,,
-9.076019,13.422231,,,ZANGO,,,,,,
7.1666666667,2.0666666667,,,BOHICON,,,,,,
6.35,2.3833333333,,,COTONOU,,,,,,
11.1333333333,2.9333333333,,,KANDI,,,,,,
9.35,2.6166666667,,,PARAKOU,,,,,,
10.3166666667,1.3833333333,,,PEPORIYAKOU-NATITINGOU,,,,,,
8.0333333333,2.4666666667,,,SAVE,,,,,,
-22.4897222222,28.6966666667,,,BAINES DRIFT,,,,,,
-21.3238888889,27.4691666667,,,FRANCISTOWN,,,,,,
-24.6666666667,25.9166666667,,,GABORONE,,,,,,
-21.7,21.65,,,GHANZI,,,,,,
-25.45,25.4166666667,,,GOOD HOPE,,,,,,
-20.25,25.0833333333,,,GWETA (68034-0),,,,,,
-20.2041666667,25.2622222222,,,GWETA (68035-0),,,,,,
-24.6,24.6666666667,,,JWANENG,,,,,,
-17.8166666667,25.15,,,KASANE,,,,,,
-23.6666666667,24.1666666667,,,KHUTSE,,,,,,
-23.3644444444,25.8475,,,LEPHEPE,,,,,,
-21.4166666667,25.6,,,LETLHAKANE,,,,,,
-19.0180555556,23.97,,,MABABE,,,,,,
-23.0833333333,26.8,,,MAHALAPYE,,,,,,
-20.1252777778,27.22,,,MAITENGWE,,,,,,
-19.9833333333,23.4166666667,,,MAUN,,,,,,
-19.3333333333,23.4166666667,,,MOREMI,,,,,,
-24.0611111111,23.2975,,,MOTOKWE,,,,,,
-23.1255555556,20.2719444444,,,NCOJANE,,,,,,
-23.7122222222,21.0797222222,,,NGWATLE,,,,,,
-18.5333333333,25.6333333333,,,PANDAMATENGA,,,,,,
-22.05,27.8166666667,,,SELEBI-PHIKWE,,,,,,
-24.55,25.9166666667,,,SERETSE KHAMA INTERNATIONAL AIRPORT,,,,,,
-22.4133333333,26.7152777778,,,SEROWE,,,,,,
-18.3666666667,21.85,,,SHAKAWE,,,,,,
-20.5472222222,26.0783333333,,,SUA-PAN,,,,,,
-26.05,22.45,,,TSABONG,,,,,,
-24.0166666667,21.8833333333,,,TSHANE,,,,,,
-19.3577777778,22.2838888889,,,TUBU,,,,,,
-26.8672222222,20.7094444444,,,VAALHOEK,,,,,,
-25.2666666667,23.25,,,WERDA,,,,,,
-22.3438888889,23.0313888889,,,XADE,,,,,,
12.640814,-1.05649,,,Ambsouya,,,,,,
14.2283,-0.8626,,,Arbinda,,,,,,
12.8449,-2.0334,,,Arbole,,,,,,
11.17,-4.3,,,BOBO-DIOULASSO,,,,,,
11.1666666667,-4.3,,,BOBO-DIOULASSO,,,,,,
12.98,-0.13,,,BOGANDE,,,,,,
12.98,-0.16,,,BOGANDE,,,,,,
11.73,-2.92,,,BOROMO,,,,,,
11.7333333333,-2.9166666667,,,BOROMO,,,,,,
11.7481,-3.3044,,,Bagassi,,,,,,
14.3339,-0.4407,,,Bagawa,,,,,,
11.5069,-0.526,,,Bagré,,,,,,
